National Park,Rank
Yosemite,1
Canyonlands,2
Arches,3
Wrangell-St. Elias,4
Crater Lake,5
Grand Canyon,6
Zion,7
Gates of the Arctic,8
Dry Tortugas,9
Denali,10
Glacier,11
Yellowstone,12
Bryce Canyon,13
Katmai,14
Big Bend,15
Death Valley,16
Olympic,17
Grand Teton,18
Carlsbad Caverns,19
Mount Rainier,20
Rocky Mountain,21
Kobuk Valley,22
Capitol Reef,23
Acadia,24
Theodore Roosevelt,25
North Cascades,26
Badlands,27
Glacier Bay,28
Channel Islands,29
Black Canyon of the Gunnison,30
Lake Clark,31
Haleakala,32
Lassen Volcanic,33
Great Sand Dunes,34
Great Basin,35
Joshua Tree,36
Kings Canyon,37
Redwood,38
Hawaii Volcanoes,39
Great Smoky Mountains,40
Kenai Fjords,41
White Sands,42
Mesa Verde,43
Everglades,44
Isle Royale,45
Virgin Islands,46
Saguaro,47
New River Gorge,48
Petrified Forest,49
Sequoia,50
Shenandoah,51
American Samoa,52
Guadalupe Mountains,53
Wind Cave,54
Voyageurs,55
Biscayne,56
Mammoth Cave,57
Gateway Arch,58
Congaree,59
Cuyahoga Valley,60
Pinnacles,61
Indiana Dunes,62
Hot Springs,63
